cap-shape,cap-surface,cap-color,spore-print-color,class
convex,scaly,yellow,brown,edible
convex,fibrous,brown,black,edible
convex,smooth,white,brown,edible
convex,scaly,yellow,brown,edible
convex,scaly,white,brown,edible
convex,smooth,white,black,edible
flat,scaly,yellow,brown,edible
bell,smooth,yellow,brown,edible
flat,fibrous,white,brown,edible
flat,smooth,gray,brown,edible
convex,scaly,white,black,edible
convex,scaly,white,black,edible
flat,scaly,yellow,black,edible
convex,smooth,white,purple,edible
convex,smooth,yellow,brown,edible
flat,scaly,yellow,brown,edible
convex,scaly,yellow,black,edible
convex,smooth,yellow,brown,edible
convex,fibrous,brown,brown,edible
flat,scaly,yellow,black,edible
convex,smooth,white,black,edible
bell,smooth,yellow,brown,edible
convex,smooth,yellow,brown,edible
convex,scaly,brown,brown,edible
bell,scaly,yellow,black,edible
convex,smooth,white,black,edible
convex,scaly,white,black,edible
convex,smooth,yellow,black,edible
flat,scaly,yellow,black,edible
convex,fibrous,white,brown,edible
convex,smooth,brown,black,edible
convex,smooth,white,brown,edible
convex,smooth,yellow,brown,edible
flat,fibrous,white,black,edible
flat,smooth,brown,black,poisonous
convex,fibrous,gray,brown,edible
flat,scaly,brown,brown,poisonous
convex,smooth,brown,brown,poisonous
bell,smooth,white,black,edible
convex,fibrous,gray,black,edible
convex,smooth,white,black,edible
flat,fibrous,gray,black,edible
convex,smooth,gray,black,edible
convex,smooth,white,brown,edible
convex,smooth,white,brown,edible
convex,scaly,gray,brown,edible
flat,fibrous,brown,brown,edible
convex,smooth,white,black,edible
flat,fibrous,brown,black,edible
convex,smooth,brown,brown,edible
convex,scaly,yellow,black,edible
convex,smooth,yellow,purple,edible
flat,fibrous,white,brown,edible
convex,smooth,brown,brown,edible
convex,smooth,gray,black,edible
convex,scaly,brown,black,poisonous
convex,fibrous,gray,brown,edible
bell,smooth,white,brown,edible
convex,smooth,gray,black,edible
flat,fibrous,gray,brown,edible
flat,smooth,brown,brown,poisonous
convex,smooth,yellow,brown,edible
convex,fibrous,brown,black,edible
flat,smooth,white,black,edible
convex,scaly,yellow,black,edible
convex,fibrous,brown,black,edible
flat,smooth,gray,black,edible
convex,scaly,red,brown,edible
bell,scaly,yellow,brown,edible
convex,fibrous,white,black,edible
convex,smooth,white,brown,poisonous
convex,fibrous,gray,brown,edible
flat,fibrous,gray,brown,edible
flat,fibrous,brown,brown,edible
flat,fibrous,white,black,edible
bell,scaly,white,black,edible
flat,fibrous,brown,black,edible
flat,scaly,brown,brown,poisonous
convex,scaly,white,brown,poisonous
bell,smooth,yellow,black,edible
flat,smooth,gray,brown,edible
convex,fibrous,gray,brown,edible
flat,fibrous,brown,brown,edible
bell,smooth,white,black,edible
convex,smooth,white,black,poisonous
convex,scaly,brown,black,edible
flat,fibrous,white,purple,edible
convex,scaly,yellow,brown,edible
convex,fibrous,brown,black,edible
flat,fibrous,white,black,edible
convex,fibrous,brown,black,edible
convex,fibrous,brown,brown,edible
flat,smooth,gray,black,edible
flat,smooth,gray,black,edible
flat,smooth,brown,black,poisonous
convex,fibrous,brown,black,edible
convex,smooth,brown,black,edible
convex,fibrous,white,black,edible
flat,fibrous,brown,brown,edible
convex,fibrous,brown,black,edible
flat,fibrous,brown,black,edible
convex,fibrous,gray,black,edible
flat,fibrous,brown,black,edible
convex,smooth,gray,black,edible
bell,scaly,white,black,edible
convex,fibrous,brown,black,edible
convex,scaly,yellow,brown,edible
flat,fibrous,gray,black,edible
flat,fibrous,brown,brown,edible
convex,smooth,yellow,black,edible
flat,fibrous,gray,black,edible
convex,fibrous,brown,brown,edible
convex,smooth,white,black,poisonous
convex,fibrous,white,brown,edible
flat,fibrous,white,black,edible
convex,smooth,white,brown,edible
convex,smooth,gray,black,edible
convex,scaly,yellow,brown,edible
convex,smooth,yellow,black,edible
convex,smooth,gray,black,edible
convex,smooth,brown,brown,edible
flat,fibrous,brown,black,edible
flat,smooth,white,black,edible
flat,smooth,white,black,edible
convex,scaly,yellow,brown,edible
flat,smooth,white,purple,edible
bell,smooth,white,brown,edible
flat,scaly,white,black,poisonous
convex,fibrous,gray,black,edible
flat,scaly,brown,brown,edible
flat,smooth,brown,brown,edible
convex,smooth,white,black,poisonous
convex,scaly,brown,brown,edible
convex,smooth,gray,brown,edible
convex,smooth,white,brown,edible
flat,fibrous,white,brown,edible
convex,fibrous,brown,brown,edible
convex,smooth,white,brown,edible
convex,scaly,white,brown,edible
convex,smooth,white,black,edible
flat,scaly,yellow,brown,edible
flat,smooth,brown,black,edible
flat,fibrous,gray,black,edible
flat,fibrous,yellow,purple,edible
flat,scaly,brown,brown,edible
convex,fibrous,brown,brown,edible
flat,smooth,brown,brown,poisonous
convex,fibrous,brown,black,edible
flat,fibrous,brown,brown,edible
bell,smooth,yellow,black,edible
bell,scaly,white,black,edible
convex,scaly,white,brown,edible
flat,scaly,white,black,poisonous
flat,scaly,white,brown,poisonous
convex,fibrous,brown,brown,edible
flat,smooth,yellow,purple,edible
convex,scaly,yellow,black,edible
convex,smooth,white,black,edible
convex,fibrous,gray,brown,edible
convex,scaly,brown,black,poisonous
convex,fibrous,gray,brown,edible
flat,fibrous,brown,brown,edible
convex,smooth,white,brown,edible
flat,fibrous,white,black,edible
convex,scaly,yellow,black,edible
flat,fibrous,yellow,brown,edible
convex,fibrous,gray,black,edible
convex,smooth,brown,black,poisonous
convex,scaly,yellow,brown,edible
flat,scaly,brown,black,edible
convex,fibrous,white,black,edible
convex,scaly,brown,brown,edible
convex,smooth,gray,brown,edible
convex,smooth,white,brown,edible
convex,fibrous,gray,brown,edible
flat,scaly,brown,brown,poisonous
convex,fibrous,brown,black,edible
convex,fibrous,gray,black,edible
convex,fibrous,red,black,edible
convex,fibrous,brown,black,edible
convex,fibrous,gray,brown,edible
convex,scaly,yellow,brown,edible
convex,fibrous,brown,black,edible
bell,smooth,yellow,black,edible
convex,fibrous,white,brown,edible
flat,smooth,gray,brown,edible
convex,scaly,yellow,black,edible
convex,fibrous,brown,brown,edible
flat,smooth,white,brown,edible
convex,smooth,yellow,brown,edible
convex,smooth,gray,brown,edible
convex,fibrous,gray,brown,edible
flat,scaly,white,black,poisonous
flat,fibrous,yellow,purple,edible
convex,scaly,white,black,edible
flat,fibrous,white,brown,edible
convex,fibrous,brown,black,edible
convex,scaly,brown,brown,edible
convex,smooth,white,brown,edible
flat,scaly,white,brown,poisonous
convex,smooth,yellow,brown,edible
convex,fibrous,gray,black,edible
flat,scaly,yellow,black,edible
flat,smooth,gray,black,edible
flat,fibrous,brown,brown,edible
flat,scaly,white,brown,poisonous
flat,fibrous,gray,brown,edible
convex,scaly,brown,black,edible
flat,fibrous,white,black,edible
flat,scaly,brown,brown,poisonous
bell,smooth,yellow,black,edible
flat,fibrous,gray,black,edible
bell,smooth,white,black,edible
flat,fibrous,gray,brown,edible
bell,scaly,white,brown,edible
convex,scaly,white,black,edible
flat,scaly,brown,black,poisonous
convex,scaly,yellow,black,edible
sunken,fibrous,brown,black,edible
convex,scaly,brown,black,edible
flat,fibrous,gray,brown,edible
flat,fibrous,yellow,purple,edible
convex,smooth,gray,brown,edible
flat,scaly,brown,black,poisonous
convex,fibrous,gray,black,edible
convex,smooth,gray,black,edible
convex,fibrous,gray,black,edible
convex,scaly,brown,brown,poisonous
convex,fibrous,brown,brown,edible
flat,smooth,white,brown,edible
convex,fibrous,gray,brown,edible
convex,scaly,brown,brown,poisonous
flat,fibrous,brown,brown,edible
flat,smooth,white,black,edible
convex,scaly,white,black,poisonous
flat,fibrous,gray,brown,edible
bell,scaly,yellow,brown,edible
convex,smooth,brown,brown,edible
flat,fibrous,brown,black,edible
flat,smooth,white,black,poisonous
convex,scaly,brown,brown,edible
flat,fibrous,white,black,edible
flat,scaly,brown,black,edible
flat,fibrous,gray,black,edible
flat,fibrous,gray,brown,edible
flat,smooth,gray,brown,edible
flat,fibrous,brown,black,edible
convex,smooth,gray,brown,edible
convex,fibrous,white,black,edible
flat,fibrous,white,black,edible
convex,smooth,brown,brown,edible
convex,fibrous,brown,black,edible
flat,smooth,yellow,purple,edible
convex,fibrous,white,black,edible
flat,smooth,white,black,edible
bell,smooth,yellow,brown,edible
convex,fibrous,white,brown,edible
convex,fibrous,gray,black,edible
flat,smooth,brown,brown,poisonous
convex,fibrous,gray,black,edible
convex,smooth,brown,black,poisonous
flat,smooth,white,brown,edible
convex,scaly,white,black,edible
convex,fibrous,brown,black,edible
convex,fibrous,brown,brown,edible
bell,scaly,yellow,brown,edible
flat,fibrous,white,brown,edible
convex,smooth,brown,brown,edible
flat,fibrous,white,brown,edible
convex,fibrous,brown,brown,edible
flat,fibrous,white,brown,edible
convex,smooth,white,black,edible
convex,smooth,brown,brown,edible
convex,fibrous,white,brown,edible
flat,smooth,gray,black,edible
convex,fibrous,gray,brown,edible
convex,fibrous,gray,black,edible
flat,smooth,brown,black,edible
flat,smooth,white,black,edible
flat,scaly,brown,black,edible
convex,scaly,white,brown,poisonous
flat,smooth,gray,black,edible
convex,scaly,white,black,poisonous
bell,scaly,white,brown,edible
convex,smooth,gray,black,edible
flat,fibrous,gray,black,edible
flat,fibrous,white,brown,edible
flat,smooth,gray,black,edible
bell,scaly,white,brown,edible
convex,fibrous,gray,black,edible
convex,fibrous,red,brown,edible
convex,scaly,yellow,black,edible
convex,smooth,white,black,edible
bell,smooth,white,brown,edible
convex,smooth,brown,black,poisonous
convex,fibrous,brown,black,edible
flat,smooth,brown,black,edible
bell,smooth,white,brown,edible
convex,smooth,gray,black,edible
convex,fibrous,brown,black,edible
flat,fibrous,white,brown,edible
convex,fibrous,brown,black,edible
convex,fibrous,gray,black,edible
convex,fibrous,gray,black,edible
bell,scaly,yellow,black,edible
flat,fibrous,brown,brown,edible
convex,fibrous,white,brown,edible
flat,scaly,brown,black,edible
convex,scaly,brown,black,edible
convex,scaly,yellow,black,edible
flat,fibrous,gray,brown,edible
convex,scaly,white,black,edible
convex,scaly,white,black,edible
flat,smooth,white,brown,edible
flat,smooth,gray,black,edible
flat,smooth,brown,black,poisonous
convex,scaly,yellow,brown,edible
convex,fibrous,brown,brown,edible
convex,fibrous,white,black,edible
convex,smooth,yellow,brown,edible
convex,fibrous,red,brown,edible
flat,scaly,brown,brown,edible
bell,smooth,white,black,edible
convex,smooth,brown,black,poisonous
convex,fibrous,gray,black,edible
bell,scaly,white,brown,edible
convex,smooth,white,brown,edible
bell,scaly,yellow,black,edible
convex,scaly,white,brown,edible
convex,smooth,yellow,brown,edible
bell,smooth,white,black,edible
flat,smooth,brown,black,edible
flat,smooth,white,brown,poisonous
flat,smooth,brown,brown,edible
flat,fibrous,brown,black,edible
flat,scaly,white,black,poisonous
flat,smooth,white,black,edible
convex,fibrous,white,brown,edible
convex,smooth,brown,black,edible
flat,smooth,brown,black,edible
flat,scaly,yellow,black,edible
convex,fibrous,gray,black,edible
convex,fibrous,brown,black,edible
flat,smooth,brown,brown,poisonous
convex,smooth,white,brown,edible
flat,fibrous,brown,black,edible
flat,fibrous,white,brown,edible
flat,fibrous,white,brown,edible
convex,scaly,yellow,black,edible
convex,smooth,gray,brown,edible
convex,fibrous,gray,brown,edible
flat,fibrous,brown,black,edible
flat,smooth,brown,black,edible
convex,fibrous,white,black,edible
convex,scaly,red,brown,edible
convex,fibrous,brown,black,edible
convex,smooth,white,brown,poisonous
convex,scaly,brown,black,edible
convex,fibrous,brown,brown,edible
flat,scaly,white,brown,poisonous
flat,fibrous,gray,black,edible
convex,fibrous,white,brown,edible
flat,smooth,brown,black,edible
flat,fibrous,gray,black,edible
flat,smooth,gray,black,edible
flat,fibrous,gray,brown,edible
convex,smooth,gray,brown,edible
convex,smooth,brown,black,edible
flat,smooth,white,black,poisonous
convex,smooth,gray,brown,edible
convex,smooth,white,black,poisonous
flat,smooth,white,brown,poisonous
flat,smooth,brown,brown,edible
convex,fibrous,gray,black,edible
flat,smooth,gray,brown,edible
convex,smooth,gray,black,edible
flat,fibrous,gray,black,edible
flat,fibrous,gray,brown,edible
convex,scaly,gray,brown,edible
convex,fibrous,brown,brown,edible
flat,smooth,white,brown,edible
flat,scaly,white,brown,poisonous
flat,scaly,brown,brown,poisonous
convex,smooth,white,brown,edible
flat,smooth,brown,brown,poisonous
flat,fibrous,brown,black,edible
flat,smooth,white,brown,edible
flat,smooth,brown,black,poisonous
flat,scaly,white,black,poisonous
flat,scaly,brown,black,poisonous
flat,smooth,white,black,poisonous
convex,smooth,white,black,edible
convex,fibrous,brown,brown,edible
flat,smooth,white,brown,edible
flat,fibrous,gray,black,edible
flat,scaly,brown,black,poisonous
convex,smooth,white,brown,edible
convex,scaly,red,brown,edible
flat,smooth,gray,black,edible
convex,smooth,white,brown,edible
flat,smooth,white,brown,poisonous
flat,fibrous,brown,brown,edible
convex,fibrous,white,black,edible
flat,smooth,white,black,poisonous
convex,fibrous,brown,brown,edible
flat,fibrous,white,brown,edible
convex,smooth,white,black,edible
flat,smooth,white,brown,edible
bell,scaly,yellow,black,edible
convex,smooth,gray,brown,edible
convex,fibrous,white,black,edible
convex,smooth,brown,brown,edible
convex,fibrous,brown,black,edible
flat,fibrous,gray,black,edible
convex,scaly,brown,black,poisonous
flat,smooth,gray,black,edible
convex,fibrous,brown,black,edible
flat,smooth,white,black,edible
convex,fibrous,brown,black,edible
convex,fibrous,gray,brown,edible
convex,fibrous,white,black,edible
flat,smooth,white,brown,poisonous
flat,smooth,white,black,poisonous
convex,smooth,gray,brown,edible
convex,fibrous,brown,brown,edible
convex,smooth,gray,black,edible
convex,scaly,yellow,black,edible
flat,smooth,white,brown,edible
convex,smooth,white,brown,edible
convex,fibrous,gray,black,edible
flat,smooth,white,brown,edible
convex,fibrous,brown,brown,edible
flat,smooth,gray,brown,edible
flat,smooth,gray,brown,edible
flat,fibrous,brown,brown,edible
flat,smooth,white,brown,edible
flat,smooth,white,brown,edible
flat,smooth,gray,brown,edible
flat,fibrous,white,brown,edible
flat,smooth,brown,brown,edible
flat,smooth,white,brown,poisonous
convex,fibrous,gray,brown,edible
bell,scaly,yellow,black,edible
flat,fibrous,brown,brown,edible
flat,smooth,gray,brown,edible
convex,fibrous,brown,black,edible
bell,smooth,yellow,black,edible
convex,smooth,white,black,edible
flat,fibrous,brown,brown,edible
convex,smooth,white,brown,poisonous
flat,fibrous,white,black,edible
flat,scaly,white,brown,poisonous
convex,smooth,brown,brown,edible
flat,smooth,brown,black,edible
bell,smooth,yellow,black,edible
flat,smooth,gray,brown,edible
convex,smooth,gray,brown,edible
flat,fibrous,gray,black,edible
convex,fibrous,gray,black,edible
flat,smooth,white,black,edible
flat,smooth,brown,black,poisonous
flat,fibrous,gray,brown,edible
flat,smooth,white,black,edible
convex,fibrous,brown,black,edible
convex,smooth,brown,brown,edible
convex,fibrous,red,brown,edible
convex,scaly,yellow,brown,edible
flat,fibrous,white,black,edible
convex,smooth,white,black,edible
flat,fibrous,brown,brown,edible
flat,smooth,white,black,poisonous
flat,fibrous,gray,brown,edible
flat,smooth,white,brown,edible
flat,fibrous,white,black,edible
flat,scaly,brown,brown,poisonous
convex,smooth,white,black,edible
convex,fibrous,brown,brown,edible
convex,scaly,gray,brown,edible
convex,scaly,gray,brown,edible
flat,smooth,brown,brown,edible
flat,smooth,white,brown,edible
flat,smooth,brown,brown,edible
convex,smooth,brown,black,edible
flat,fibrous,white,black,edible
convex,fibrous,brown,black,edible
flat,fibrous,white,black,edible
flat,fibrous,brown,brown,edible
flat,smooth,white,black,edible
flat,fibrous,brown,brown,edible
flat,scaly,brown,black,poisonous
flat,fibrous,white,black,edible
flat,smooth,white,brown,edible
convex,fibrous,brown,brown,edible
flat,fibrous,white,brown,edible
convex,fibrous,gray,black,edible
flat,smooth,brown,brown,edible
convex,fibrous,gray,black,edible
flat,fibrous,white,brown,edible
flat,fibrous,brown,black,edible
convex,smooth,brown,black,edible
convex,fibrous,white,black,edible
bell,smooth,yellow,black,edible
convex,scaly,brown,black,poisonous
flat,smooth,brown,black,poisonous
flat,fibrous,white,black,edible
flat,fibrous,brown,black,edible
flat,scaly,brown,black,poisonous
flat,fibrous,brown,black,edible
convex,smooth,white,brown,poisonous
flat,smooth,brown,brown,edible
flat,scaly,white,brown,poisonous
flat,smooth,brown,black,edible
